date,Rt,Rt_lower,Rt_upper
23/03/2020,2.62204959405366,2.49743796025891,2.75073899132537
24/03/2020,2.29635250113752,2.19559400385291,2.40014749791033
25/03/2020,2.15588514383392,2.06883849061821,2.24533990874904
26/03/2020,1.98004285257813,1.90455718742668,2.05749721203439
27/03/2020,1.83527408984952,1.76886306364045,1.9033269327455
28/03/2020,1.73330523677172,1.67368099650635,1.79432900969983
29/03/2020,1.63404508821159,1.58007544151,1.68922991095537
30/03/2020,1.53283762472632,1.48374411458766,1.58300230502418
31/03/2020,1.42473594130603,1.3799488957032,1.47048172664295
01/04/2020,1.31289328103479,1.27188241494234,1.35477639474058
02/04/2020,1.24064415342161,1.20227232958092,1.27982387695289
03/04/2020,1.1478276704533,1.11200512857295,1.18441141291784
04/04/2020,1.06062090687137,1.02695452179736,1.09501516271321
05/04/2020,0.9796617649402,0.947764428820282,1.01226687940893
06/04/2020,0.923964083419453,0.893167336288634,0.955460751263942
07/04/2020,0.910544948287742,0.879911950100308,0.941880799601272
08/04/2020,0.88900867602381,0.858527093821741,0.920203354242665
09/04/2020,0.876415443366383,0.845860088706572,0.907697933878105
10/04/2020,0.873501622943374,0.842634978468154,0.905113011367234
11/04/2020,0.865435465689082,0.834306298995433,0.897329490539642
12/04/2020,0.863080274977045,0.831559399429754,0.895387817119629
13/04/2020,0.86621516307197,0.834171696037336,0.899068917815806
14/04/2020,0.814383427496921,0.782861767446607,0.846740089403661
15/04/2020,0.791342317786534,0.759768849385818,0.823778636063416
16/04/2020,0.774706269724231,0.742831264784887,0.807480341035606
17/04/2020,0.768506807620399,0.736018660724982,0.801937211223912
18/04/2020,0.7589689493515,0.725868595081724,0.793060614714847
19/04/2020,0.784831372176469,0.750271568117123,0.820436526373002
20/04/2020,0.797707213193663,0.761933045984048,0.834584023767956
21/04/2020,0.84401530848573,0.806294483640733,0.882894657825867
22/04/2020,0.8353053571668,0.796958255497954,0.87486327638136
23/04/2020,0.813389915622138,0.774848904785909,0.853188260236988
24/04/2020,0.801477552183061,0.762492241015865,0.84176961568369
25/04/2020,0.802451264998633,0.762625139930803,0.843640398327765
26/04/2020,0.780433090902174,0.740301255159018,0.821989762627529
27/04/2020,0.788664438646308,0.747394903470687,0.83142595529269
28/04/2020,0.773600823890024,0.731745346629041,0.817022771604
29/04/2020,0.791454534783844,0.748073952723754,0.836480676032788
30/04/2020,0.793024635968281,0.748517402957374,0.839262169095091
01/05/2020,0.769039823907284,0.72417770102696,0.815717587780616
02/05/2020,0.714493718600606,0.670238301724633,0.760655701581852
03/05/2020,0.701640166662154,0.656590255159267,0.748705116926937
04/05/2020,0.715780519174859,0.6688069963201,0.764903705877101
05/05/2020,0.713960042288682,0.665465712112914,0.764755053016119
06/05/2020,0.686590388434272,0.637477113584904,0.738163789579106
07/05/2020,0.690170575405391,0.639248272352783,0.743728057876589
08/05/2020,0.683507146295565,0.631013940820365,0.738833997486712
09/05/2020,0.742865786689975,0.686081632130702,0.802700047331543
10/05/2020,0.798924314739449,0.737902686223126,0.863220967381836
11/05/2020,0.792186561017633,0.729647863854501,0.858200751206143
12/05/2020,0.766946638024797,0.703936305951132,0.833609564964846
13/05/2020,0.780571428240625,0.715433454848295,0.849548246242309
14/05/2020,0.757550686739605,0.691767742990055,0.827377665584246
15/05/2020,0.781530927837807,0.7129690192458,0.854353702319942
16/05/2020,0.78426861422378,0.713772459921857,0.859260697628491
17/05/2020,0.793814466838169,0.721107275455713,0.871252330529716
18/05/2020,0.847508343567469,0.770487994249613,0.929498397473713
19/05/2020,0.861775314720226,0.782395110704498,0.946351655550764
20/05/2020,0.872271647324446,0.790993068320576,0.958936465535343
21/05/2020,0.876392720950356,0.793661615481078,0.964682957547173
22/05/2020,0.832998825322443,0.751269487204122,0.920451492732294
23/05/2020,0.831188255932692,0.748338248348565,0.91993912772386
24/05/2020,0.823604221449416,0.739694024697449,0.913632815373639
25/05/2020,0.828335607310539,0.742614003311612,0.920413579382424
26/05/2020,0.804686363887542,0.718632448185327,0.897350949899079
27/05/2020,0.778671176305808,0.692416894265945,0.871808137296399
28/05/2020,0.733021373933862,0.647608280305798,0.825634286943401
29/05/2020,0.757480244241956,0.66839424837119,0.854151761225503
30/05/2020,0.777799084200001,0.684920163413082,0.878718528265262
31/05/2020,0.815541108619477,0.717776627549565,0.921804888285095
01/06/2020,0.81199333917476,0.712089621858301,0.920832064892739
02/06/2020,0.830480517817564,0.727235918151128,0.943064192098166
03/06/2020,0.759769425624462,0.659213993504727,0.870066488788215
04/06/2020,0.813555347743876,0.707142525114474,0.930144685391398
05/06/2020,0.842380459597383,0.73141943996702,0.964035255186856
06/06/2020,0.796229213016681,0.686292116664135,0.917325181385542
07/06/2020,0.81970335652407,0.70593169526078,0.945089994993325
08/06/2020,0.809062379302797,0.693691670188217,0.936568745033868
09/06/2020,0.809571173214873,0.691813651314091,0.939991131554148
10/06/2020,0.835175248441299,0.712984041685391,0.970590896986653
11/06/2020,0.871112440948076,0.743663404858723,1.01235496024815
12/06/2020,0.886779609915741,0.755882922859633,1.03198323575651
13/06/2020,0.861947470084507,0.731154424456954,1.00748267460026
14/06/2020,0.850973050122595,0.719326758825321,0.997781352569594
15/06/2020,0.847487151798732,0.714171748920344,0.996446653562226
16/06/2020,0.876408880092797,0.73854389572367,1.03045184091249
17/06/2020,0.9056082031881,0.763149969807511,1.06478341481641
18/06/2020,0.850228109874734,0.710661246846926,1.00697572451168
19/06/2020,0.85191688411806,0.710489390174004,1.0109766337147
